scenario,age,cause,sex,year,well,sick,newcases,dead,pop,all.mx,intervention,location
baseline,0,cmd,Female,2047,2166820.379081,205.735704724684,0,52.1368352215847,2206294,39320.0220494962,b.a.u,Indonesia
all_plus_fair,22,rhd,Female,2023,2117161.47499665,13039.7490015613,1072.82951541785,50.4162992932393,2132665.3828065,2464.15880829037,FAIR,Indonesia
all_plus_fair,40,dm2,Male,2030,1940703.1376657,151136.945489583,10383.9578864485,234.385498184695,2100122.49781339,8282.41465811338,FAIR,Indonesia
all_plus_fair,85,istroke,Female,2022,178594.063597021,8931.69546949916,1587.81704485388,2464.09070736325,201969.097933967,14443.3388674462,FAIR,Indonesia
baseline,31,hhd,Female,2022,2054380.66143935,464.883301841314,97.1589793937114,43.7667915451161,2058261.80654556,3416.26180436974,b.a.u,Indonesia
all_plus_fair,66,istroke,Female,2045,1501693.83689921,69164.7492973467,3171.36825053319,2814.80312348454,1600592.71597946,29734.1297829005,FAIR,Indonesia
baseline,39,dm2,Female,2046,2087184.21034599,128939.454779444,7202.83878697723,149.960351740135,2222072.81831835,5949.15319292519,b.a.u,Indonesia
fair_only,8,cmd,Female,2028,2103602.89869243,307.197164877827,5.12349416455253,2.32131773773767,2104770.80513776,860.709280453778,FAIR,Indonesia
all_plus_fair,1,istroke,Male,2032,2237191.85255503,177.887145857429,46.7999676751531,7.4492764856135,2275863.24585996,38493.50615908,FAIR,Indonesia
fair_only,41,rhd,Male,2046,2194013.3229242,15883.9839888363,56.2679951941865,33.4402837351318,2217836.27370128,7938.96678824201,FAIR,Indonesia
fair_only,89,istroke,Male,2031,78294.4792130819,11092.8049519725,2895.65839401659,3419.57602337461,102779.431659262,13392.147494208,FAIR,Indonesia
