age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
76,Male,dm2,2000,Indonesia,0.0350587732770715,0.0643126577633612,0.061303940877784,0.111243876069052,0.00300871688557727,176082,,,,,,,,,,,,,,,,,,,,,,,,,0.00402469506578953,0.0196964417595854,176082,,,0,0
24,Female,rhd,2043,Indonesia,0.000789524136950834,0.00120217879773007,0.00117834429142198,0.0067726308994363,2.38345063080953e-05,2130662.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000394066445276692,0.00279064735464127,2130662.5,,,0,0
30,Female,istroke,2026,Indonesia,0.00111960449150496,0.00156265859690452,0.00154625689064879,0.00285045379087936,1.64017062557258e-05,2066375.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000199342030909392,0.0106986979866485,2066375.5,,,0,0
91,Female,hstroke,2026,Indonesia,0.0664036987343084,0.116718598619131,0.108766713323016,0.0151660877701919,0.00795188529611588,28752,,,,,,,,,,,,,,,,,,,,,,,,,0.0117018601125432,0.687692913264647,28752,,,0,0
77,Female,cmd,2031,Indonesia,0.0180727067573988,0.0366407723320596,0.0365445003316318,0.0009820976931904,9.62720004277598e-05,395681.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000327654743451971,0.184133015631184,395681.5,,,0,0
91,Female,istroke,2039,Indonesia,0.0652693655149271,0.116718598619131,0.10104946155847,0.054749009899913,0.0156691370606611,28752,,,,,,,,,,,,,,,,,,,,,,,,,0.0226264274850598,0.571434648197319,28752,,,0,0
50,Male,hhd,2016,Indonesia,0.00546581959564082,0.0102370169795011,0.00995285994117392,0.00123344102356014,0.000284157038327202,1558233,,,,,,,,,,,,,,,,,,,,,,,,,0.000457128831855678,0.318289711028839,1558233,,,0,0
87,Male,istroke,2029,Indonesia,0.0610276707094345,0.108645616027526,0.0955683168896011,0.103948343831569,0.0130772991379246,46933,,,,,,,,,,,,,,,,,,,,,,,,,0.0292221206104386,0.232569935607089,46933,,,0,0
89,Male,rhd,2009,Indonesia,0.0821151638552709,0.138728864480564,0.138665171194686,0.00129418938459642,6.36932858781283e-05,15755.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000167067821485818,0.0433943988071326,15755.5,,,0,0
14,Female,hhd,2002,Indonesia,0.000798463421409314,0.000857549669400639,0.000857120820195545,1.156143736892e-05,4.28849205093094e-07,2113122.5,,,,,,,,,,,,,,,,,,,,,,,,,3.72318738032223e-06,0.0122308716764193,2113122.5,,,0,0
79,Male,ihd,2012,Indonesia,0.0397804753910376,0.0743519980689788,0.0635930783827449,0.129372992809489,0.010758919686234,179678.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0113900293312978,0.0711685453810949,179678.5,,,0,0
59,Female,istroke,2041,Indonesia,0.00513129051359367,0.0113368173468716,0.0107962500008392,0.021773881682249,0.0005405673460324,1208539,,,,,,,,,,,,,,,,,,,,,,,,,0.00319133989807515,0.0284685428870031,1208539,,,0,0
